id_vente,date_vente,produit,quantite,prix_unitaire,total_vente,categorie,vendeur
V00001,2025-01-19,Ordinateur Lenovo ThinkPad,15,970,14550,Informatique,Sow Mamadou
V00002,2025-02-24,Souris Gamer Logitech G502,20,60,1200,Accessoires,Bah Mariama
V00003,2025-10-27,Souris Gamer Logitech G502,9,60,540,Accessoires,Camara Ousmane
V00004,2025-02-10,Téléphone iPhone 13,8,950,7600,Téléphonie,Diallo Ibrahima
V00005,2025-09-15,Clé USB 64 Go Kingston,13,12,156,Accessoires,Barry Fatou
V00006,2025-03-06,Câble HDMI 2m,15,5,75,Accessoires,Camara Ousmane
V00007,2025-02-20,Souris Logitech M185,9,15,135,Accessoires,Sow Mamadou
V00008,2025-05-24,Écran Dell 24’’,9,190,1710,Informatique,Bah Mariama
V00009,2025-05-24,Câble HDMI 2m,10,5,50,Accessoires,Camara Ousmane
V00010,2025-05-20,Câble HDMI 2m,6,5,30,Accessoires,Diallo Ibrahima
V00011,2025-05-11,Clé USB 32 Go SanDisk,7,8,56,Accessoires,Sow Mamadou
V00012,2025-10-24,Ordinateur Portable HP,9,750,6750,Informatique,Sow Mamadou
V00013,2025-09-14,Écran Dell 24’’,8,190,1520,Informatique,Barry Fatou
V00014,2025-01-03,Souris Logitech M185,6,15,90,Accessoires,Diallo Ibrahima
V00015,2025-03-03,Souris Logitech M185,6,15,90,Accessoires,Diallo Ibrahima
V00016,2025-09-29,Souris Logitech M185,17,15,255,Accessoires,Barry Fatou
V00017,2025-08-30,Ordinateur Portable Dell,5,880,4400,Informatique,Camara Ousmane
V00018,2025-11-07,Câble HDMI 2m,3,5,15,Accessoires,Diallo Ibrahima
V00019,2025-03-04,Téléphone Samsung A15,19,210,3990,Téléphonie,Sow Mamadou
V00020,2025-10-29,Téléphone iPhone 13,13,950,12350,Téléphonie,Barry Fatou
V00021,2025-10-09,Disque SSD 512 Go,14,120,1680,Stockage,Barry Fatou
V00022,2025-02-02,Téléphone Samsung A15,2,210,420,Téléphonie,Barry Fatou
V00023,2025-02-28,Téléphone iPhone 13,8,950,7600,Téléphonie,Barry Fatou
V00024,2025-03-12,Ordinateur Portable Dell,13,880,11440,Informatique,Diallo Ibrahima
V00025,2025-11-10,Souris Gamer Logitech G502,2,60,120,Accessoires,Diallo Ibrahima
V00026,2025-01-02,Ordinateur Lenovo ThinkPad,10,970,9700,Informatique,Diallo Ibrahima
V00027,2025-10-05,Disque SSD 512 Go,5,120,600,Stockage,Bah Mariama
V00028,2025-01-18,Ordinateur Lenovo ThinkPad,1,970,970,Informatique,Camara Ousmane
V00029,2025-09-07,Téléphone Samsung A15,11,210,2310,Téléphonie,Bah Mariama
V00030,2025-01-25,Imprimante Epson EcoTank,10,160,1600,Informatique,Camara Ousmane
V00031,2025-09-30,Souris Logitech M185,3,15,45,Accessoires,Bah Mariama
V00032,2025-06-01,Clé USB 64 Go Kingston,2,12,24,Accessoires,Bah Mariama
V00033,2025-08-09,Téléphone Samsung A15,5,210,1050,Téléphonie,Barry Fatou
V00034,2025-07-17,Disque Dur Externe 1To,15,75,1125,Stockage,Diallo Ibrahima
